OBJECTID,NAME,LABEL,ADDRESS,NR,NM,NHL,NHS,NHP,STATUS,DESIGNATIO,YEAR,EDIT_DATE,DESIGNAT_1,UNIQUEID,HITYPE,GIS_ID,SHAPEAREA,SHAPELEN,aream2
312393,Anacostia Historic District,Anacostia HD,,Y,N,N,N,N,Designated,,1978,,DC/NR,D_024,HD,,345091.4383,4206.108106,345126.1913
312394,Marine Barracks Historic District,Marine Barracks HD,"750 8th St, SE",Y,N,Y,N,N,Designated,,1972,1972,DC/NR/NHL,D_025,HD,,14510.52105,534.944,14511.9824
312395,Woodley Park Historic District,Woodley Park HD,"Rock Creek Park, Calvert St, Woodley Rd, and Cathedral Ave, NW",Y,N,N,N,N,Designated,,1990,1990,DC/NR,D_026,HD,,220904.6561,2500.177835,220926.6921
312396,Takoma Park Historic District,Takoma Park HD,,Y,N,N,N,N,Designated,,1983,1983,DC/NR,D_027,HD,,455823.5673,3769.332716,455868.1392
312397,East and West Potomac Parks Historic District,East & West Potomac Parks HD,Along Potomac River from Constitution Avenue to Hains Point,Y,N,N,N,N,Designated,,1973,1973,DC/NR,D_028,HD,,2985819.456,11560.47235,2986120.156
312398,Saint Elizabeths Hospital Historic District,St. Elizabeth's Hospital HD,"2700 Martin Luther King Jr. Ave, SE",Y,N,Y,N,N,Designated,,1990,1990,DC/NR/NHL,D_029,HD,,1467908.974,5528.078308,1468056.548
312399,Grant Road Historic District,Grant Rd HD,"Grant Road from Wisconsin Ave to Brandywide St, NW",Y,N,N,N,N,Designated,,2002,2002,DC/NR,D_030,HD,,11675.25223,1356.530861,11676.39004
312401,Mount Vernon Triangle Historic District,Mount Vernon Triangle HD,,Y,N,N,N,N,Designated,,2006,2006,DC/NR,D_032,HD,,20357.31724,645.5363123,20359.36847
312416,Dupont Circle Historic District,Dupont Circle HD,,Y,N,N,N,N,Designated,,1988.333333,1988.333333,DC/NR,D_040,HD,,903047.0281,4422.186435,903137.6601
312417,Foxhall Village Historic District,Foxhall HD,"Reservoir Road, Glover-Archibald Park, P Street NW, Foxhall Road",N,N,N,N,N,Designated,,2007,2007,DC,D_041,HD,,116764.3879,1729.750037,116776.1064
312418,Mount Vernon Square Historic District,Mt. Vernon Square HD,"1st Street, New York Avenue, 7th Street, and M and N Streets, NW",Y,N,N,N,N,Designated,,1999,1999,DC/NR,D_042,HD,,184700.3325,2366.519393,184718.8803
312421,Armed Forces Retirement Home-Washington Historic District,Armed Forces Retirement Home HD,,Y,N,N,N,N,Designated,,2007,2007,DC/NR,D_045,HD,,1109182.309,4343.285237,1109292.77
312422,Washington Navy Yard Historic District,Washington Navy Yard HD,"8th & M Sts, SE",Y,N,Y,N,N,Designated,,1990.5,2006-12-29T00:00:00.000Z,DC/NR/NHL,D_046,HD,,310425.2252,3339.855535,310456.4915
312432,Marjorie Webster Historic District,Marjorie Webster HD,Area South of Kalmia and East of 17th St NW,N,N,N,N,N,Designated,,2012,2012-03-06T00:00:00.000Z,DC,D_065,HD,,33576.43602,755.2281761,33587.718
312433,Immaculata Seminary Historic District,Immaculata Seminary HD,4340 Nebraska Avenue NW,N,N,N,N,N,Designated,,2012,2012-01-12T00:00:00.000Z,,D_066,HD,,33132.59327,762.861985,33148.70764
312434,Meridian Hill Historic District,Meridian Hill,Meridian Hill,N,N,N,N,N,Designated,,2014,2014,,D_068,HD,,261022.9064,3553.205461,261048.9989
312435,Walter Reed Army Medical Center Historic District,Walter Reed Army Medical Center HD,"Generally bounded by Georgia Ave on the east, Aspen St on the south, 16th St and Alaska Ave on the west, and 14th and Dahlia St on the north",Y,N,N,N,N,Designated,2014-04-24T00:00:00.000Z,2014,2014,NR,D_069,HD,,446404.4572,2655.95744,446448.0872
312436,Fort Circle Parks Historic District,Fort Circle Parks,Around DC,Y,N,N,N,N,Designated,,2015,2015-04-14T00:00:00.000Z,DC/NR,D_067,HD,,4875825.462,77294.01671,4876240.158
312437,Capitol Hill Historic District,Capitol Hill HD,,Y,N,N,N,N,Designated,,1998,2006-12-29T00:00:00.000Z,DC/NR,D_023,HD,,3026203.428,9952.725263,3026508.07
312438,"Young, Brown, Phelps and Spingarn Educational Campus Historic District",Spingarn Campus HD,,Y,N,N,N,N,Designated,2015-05-28T00:00:00.000Z,2015,2015-06-04T00:00:00.000Z,DC/NR,D_072,HD,,149815.9669,1853.321195,149829.0086
312439,George Washington University /Old West End Historic District,GWU / Old West End HD,Generally around GW University,Y,N,N,N,N,Designated,2014-10-02T00:00:00.000Z,2014,2014,DC,D_070,HD,,151449.7221,2534.342,151464.9603
312442,Observatory Hill Historic District,Observatory Hill,,Y,,Y,,,Designated,2016-10-27T00:00:00.000Z,2016,2016,DC,D_074,HD,,56510.43153,941.0778296,56531.08005
312443,Mount Vernon Seminary for Girls Historic District,Mt Vernon Seminary,,,,,,,Designated,2016-05-26T00:00:00.000Z,2016,2016,DC,D_075,HD,,164766.315,1860.926992,164782.7213
312444,Emerald Street Historic District,Emerald St HD,,,N,N,N,N,Designated,2017-05-25T00:00:00.000Z,2017,2017,DC,D_076,HD,,11065.91363,542.545,11067.02668
312445,Kingman Park Historic District,Kingman Park HD,,,N,,,N,Designated,2018-05-03T00:00:00.000Z,2018,2018,DC,D_077,HD,,1277340.041,6526.228755,1277454.411
